X,Y,Z,Angle,RSSI,Label
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-89,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-66,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-65,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-69,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-85,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-78,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-87,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-66,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-84,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-78,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-87,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-66,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-66,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-69,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-86,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-85,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-77,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-78,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-87,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-66,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-65,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-68,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-84,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-85,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-80,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,1
