RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,X,Y
-77.0,-93.0,-91.0,-89.0,-101.0,-101.0,-97.0,-92.0,-88.0,-84.0,-68.0,-65.0,7,1
-76.0,-85.0,-94.0,-90.0,-101.0,-99.0,-94.0,-93.0,-90.0,-82.0,-69.0,-65.0,7,2
-94.0,-95.0,-88.0,-79.0,-66.0,-73.0,-79.0,-91.0,-94.0,-94.0,-92.0,-100.0,7,15
-94.0,-98.0,-88.0,-78.0,-65.0,-76.0,-81.0,-86.0,-92.0,-92.0,-99.0,-100.0,7,16
-77.0,-89.0,-98.0,-90.0,-101.0,-98.0,-95.0,-94.0,-94.0,-85.0,-69.0,-68.0,8,1
-76.0,-94.0,-96.0,-88.0,-101.0,-97.0,-90.0,-91.0,-86.0,-78.0,-68.0,-65.0,8,2
-91.0,-91.0,-92.0,-78.0,-66.0,-73.0,-79.0,-85.0,-91.0,-84.0,-92.0,-97.0,8,15
-92.0,-98.0,-92.0,-80.0,-70.0,-72.0,-78.0,-88.0,-92.0,-90.0,-96.0,-100.0,8,16
-78.0,-96.0,-96.0,-96.0,-100.0,-101.0,-93.0,-87.0,-89.0,-80.0,-68.0,-68.0,9,1
-80.0,-98.0,-94.0,-92.0,-98.0,-101.0,-95.0,-90.0,-89.0,-80.0,-62.0,-68.0,9,2
-96.0,-93.0,-96.0,-80.0,-73.0,-71.0,-82.0,-90.0,-94.0,-96.0,-98.0,-101.0,9,15
-96.0,-94.0,-101.0,-77.0,-73.0,-69.0,-80.0,-92.0,-94.0,-96.0,-101.0,-101.0,9,16
-78.0,-99.0,-94.0,-94.0,-101.0,-101.0,-90.0,-89.0,-85.0,-82.0,-61.0,-68.0,10,1
-80.0,-96.0,-100.0,-89.0,-98.0,-100.0,-94.0,-82.0,-86.0,-78.0,-60.0,-70.0,10,2
-99.0,-94.0,-96.0,-79.0,-84.0,-68.0,-75.0,-86.0,-93.0,-99.0,-100.0,-99.0,10,15
-98.0,-94.0,-97.0,-80.0,-80.0,-66.0,-76.0,-88.0,-88.0,-91.0,-98.0,-98.0,10,16
-79.0,-96.0,-98.0,-100.0,-101.0,-98.0,-92.0,-85.0,-85.0,-80.0,-67.0,-74.0,11,1
-82.0,-100.0,-101.0,-95.0,-101.0,-100.0,-89.0,-83.0,-83.0,-78.0,-66.0,-73.0,11,2
-98.0,-100.0,-100.0,-77.0,-82.0,-67.0,-72.0,-87.0,-87.0,-90.0,-96.0,-100.0,11,15
-97.0,-93.0,-99.0,-78.0,-86.0,-70.0,-74.0,-84.0,-92.0,-93.0,-100.0,-101.0,11,16
-79.0,-97.0,-96.0,-95.0,-100.0,-97.0,-90.0,-88.0,-85.0,-72.0,-67.0,-74.0,12,1
-82.0,-101.0,-101.0,-93.0,-100.0,-96.0,-94.0,-88.0,-84.0,-74.0,-71.0,-74.0,12,2
-96.0,-99.0,-99.0,-79.0,-81.0,-70.0,-69.0,-82.0,-86.0,-88.0,-92.0,-98.0,12,15
-98.0,-98.0,-100.0,-79.0,-83.0,-71.0,-71.0,-81.0,-86.0,-95.0,-95.0,-99.0,12,16
-80.0,-98.0,-99.0,-96.0,-100.0,-97.0,-88.0,-80.0,-82.0,-72.0,-70.0,-75.0,13,1
-84.0,-100.0,-97.0,-92.0,-100.0,-97.0,-95.0,-84.0,-83.0,-68.0,-70.0,-78.0,13,2
-93.0,-101.0,-100.0,-82.0,-82.0,-73.0,-66.0,-77.0,-86.0,-96.0,-90.0,-99.0,13,15
-101.0,-100.0,-99.0,-78.0,-84.0,-74.0,-70.0,-81.0,-86.0,-90.0,-90.0,-100.0,13,16
-82.0,-101.0,-100.0,-93.0,-99.0,-100.0,-93.0,-84.0,-79.0,-70.0,-72.0,-77.0,14,1
-86.0,-100.0,-99.0,-97.0,-101.0,-101.0,-89.0,-84.0,-81.0,-66.0,-72.0,-76.0,14,2
-99.0,-99.0,-101.0,-80.0,-82.0,-78.0,-68.0,-75.0,-86.0,-84.0,-95.0,-99.0,14,15
-100.0,-98.0,-99.0,-80.0,-85.0,-75.0,-72.0,-80.0,-83.0,-87.0,-96.0,-98.0,14,16
-83.0,-101.0,-100.0,-98.0,-101.0,-101.0,-82.0,-79.0,-78.0,-66.0,-73.0,-76.0,15,1
-86.0,-101.0,-97.0,-93.0,-101.0,-101.0,-83.0,-74.0,-77.0,-64.0,-74.0,-77.0,15,2
-91.0,-100.0,-98.0,-86.0,-101.0,-98.0,-82.0,-78.0,-72.0,-66.0,-77.0,-82.0,15,3
-99.0,-96.0,-95.0,-84.0,-101.0,-100.0,-84.0,-79.0,-72.0,-65.0,-79.0,-88.0,15,4
-98.0,-98.0,-100.0,-93.0,-101.0,-95.0,-78.0,-74.0,-66.0,-70.0,-84.0,-88.0,15,5
-97.0,-100.0,-96.0,-90.0,-100.0,-96.0,-79.0,-75.0,-67.0,-72.0,-84.0,-87.0,15,6
-99.0,-100.0,-92.0,-90.0,-100.0,-94.0,-77.0,-68.0,-64.0,-74.0,-85.0,-94.0,15,7
-94.0,-101.0,-93.0,-93.0,-100.0,-98.0,-77.0,-70.0,-67.0,-76.0,-87.0,-98.0,15,8
-94.0,-100.0,-96.0,-95.0,-100.0,-98.0,-76.0,-63.0,-75.0,-77.0,-88.0,-98.0,15,9
-97.0,-96.0,-99.0,-94.0,-101.0,-92.0,-77.0,-64.0,-75.0,-79.0,-90.0,-96.0,15,10
-99.0,-98.0,-101.0,-90.0,-93.0,-91.0,-71.0,-68.0,-76.0,-81.0,-91.0,-98.0,15,11
-101.0,-92.0,-100.0,-95.0,-93.0,-88.0,-71.0,-70.0,-80.0,-83.0,-92.0,-99.0,15,12
-97.0,-98.0,-98.0,-94.0,-97.0,-85.0,-68.0,-72.0,-80.0,-80.0,-94.0,-100.0,15,13
-100.0,-101.0,-101.0,-88.0,-91.0,-86.0,-65.0,-74.0,-80.0,-82.0,-91.0,-99.0,15,14
-98.0,-96.0,-101.0,-85.0,-86.0,-84.0,-70.0,-76.0,-78.0,-82.0,-97.0,-100.0,15,15
-98.0,-101.0,-100.0,-80.0,-84.0,-77.0,-76.0,-76.0,-78.0,-80.0,-89.0,-100.0,15,16
-84.0,-101.0,-98.0,-86.0,-101.0,-100.0,-80.0,-74.0,-74.0,-68.0,-75.0,-71.0,16,1
-89.0,-100.0,-98.0,-85.0,-101.0,-101.0,-80.0,-74.0,-74.0,-68.0,-74.0,-74.0,16,2
-96.0,-98.0,-94.0,-91.0,-101.0,-96.0,-82.0,-77.0,-72.0,-68.0,-79.0,-80.0,16,3
-92.0,-96.0,-98.0,-88.0,-100.0,-98.0,-79.0,-75.0,-70.0,-66.0,-78.0,-86.0,16,4
-96.0,-99.0,-101.0,-87.0,-101.0,-95.0,-82.0,-74.0,-68.0,-68.0,-82.0,-86.0,16,5
-96.0,-100.0,-101.0,-92.0,-100.0,-100.0,-79.0,-70.0,-68.0,-74.0,-82.0,-93.0,16,6
-95.0,-101.0,-94.0,-90.0,-101.0,-95.0,-80.0,-71.0,-64.0,-74.0,-92.0,-93.0,16,7
-96.0,-101.0,-94.0,-97.0,-101.0,-97.0,-78.0,-71.0,-65.0,-78.0,-90.0,-97.0,16,8
-97.0,-101.0,-97.0,-98.0,-100.0,-94.0,-72.0,-68.0,-74.0,-78.0,-87.0,-96.0,16,9
-100.0,-96.0,-100.0,-92.0,-100.0,-95.0,-73.0,-63.0,-74.0,-86.0,-88.0,-98.0,16,10
-98.0,-98.0,-100.0,-90.0,-98.0,-91.0,-71.0,-69.0,-72.0,-81.0,-90.0,-97.0,16,11
-95.0,-99.0,-100.0,-90.0,-98.0,-92.0,-69.0,-68.0,-76.0,-83.0,-94.0,-98.0,16,12
-98.0,-96.0,-95.0,-94.0,-97.0,-89.0,-70.0,-72.0,-81.0,-84.0,-86.0,-100.0,16,13
-101.0,-95.0,-101.0,-89.0,-94.0,-88.0,-68.0,-73.0,-80.0,-88.0,-92.0,-99.0,16,14
-101.0,-99.0,-101.0,-86.0,-85.0,-79.0,-68.0,-74.0,-77.0,-80.0,-94.0,-99.0,16,15
-97.0,-99.0,-99.0,-80.0,-85.0,-83.0,-74.0,-74.0,-78.0,-82.0,-94.0,-101.0,16,16
